,Course Code,Course Name 2019,EOS 2019,Mid 2019,Institution,Test 2019,NotAll 2019,Matric 2019,AQA 2019,Level8 2019
279,DT205,Mathematical Sciences,315.0,363.0,Technological University Dublin City Campus,False,False,False,False,True
280,DT206,Biomedical and Molecular Diagnostics,473.0,487.0,Technological University Dublin City Campus,False,False,False,False,True
281,DT211,Computer Science (Infrastructure),381.0,414.0,Technological University Dublin City Campus,False,False,False,False,True
282,DT220,Industrial Mathematics,300.0,317.0,Technological University Dublin City Campus,False,False,False,False,True
283,DT221,Physics with Energy and Environment,348.0,436.0,Technological University Dublin City Campus,False,False,False,False,True
284,DT222,Physics Technology,321.0,371.0,Technological University Dublin City Campus,False,False,False,False,True
285,DT223,Human Nutrition and Dietetics,553.0,566.0,Technological University Dublin City Campus,False,False,False,False,True
286,DT224,Optometry,487.0,529.0,Technological University Dublin City Campus,False,False,False,False,True
287,DT225,Public Health Nutrition,440.0,476.0,Technological University Dublin City Campus,False,False,False,False,True
288,DT227,Science with Nanotechnology,312.0,361.0,Technological University Dublin City Campus,False,False,False,False,True
289,DT228,Computer Science,451.0,466.0,Technological University Dublin City Campus,False,False,False,False,True
290,DT229,Clinical Measurement Science,491.0,509.0,Technological University Dublin City Campus,False,False,False,False,True
291,DT235,Physics with Medical Physics and Bioengineering,357.0,403.0,Technological University Dublin City Campus,False,False,False,False,True
